Site,Watershed,ISCO Number,Record Type,Year,WY,Month,Day,Hour,Season,Julian Day,Running Day of Project,Ca flag,Ca (ueq/L),NMCa (ueq/L),Mg flag,Mg (ueq/L),NMMg (ueq/L),K flag,K (ueq/L),NMK (ueq/L),Na flag,Na (ueq/L),NMNa (ueq/L),Si flag,Si (mg/L),NH4 flag,NH4 (ueq/L),Al flag,Al (ppb),Al-Org flag,Al-Org (PPB),Total N flag,Total N (ppm),Cl flag,Cl (ueq/L),SO4 flag,SO4 (ueq/L),NMSO4 (ueq/L),NO3 flag,NO3 (ueq/L),DOC flag,DOC (mg/L),DIC flag,DIC (mg/L),ANC (ueq/L),Closed-cell pH,Air-equilibrated pH,Specific Conductance (us/cm),Discharge (L/sec),Initial pH,H+ (ueq/L),HCO3 (ueq/L),Unequilibrated pH (older samples),Apparent color flag,Apparent Color (PCU),True color flag,True color (PCU),Total P flag,Total P (ppb),Field Temp (degrees C),Comment,SUVA,,
EB3,EB,,REG,1987,1987,3,27,11,SPRING,86.46,451.46,,88,85,,30,18,,5.9,5.0,,80,27,,1.5,Half DL,1.40,,124,,74,,,,62,,97,91,,24.4,,1.5,,,8.2,5.39,5.60,25.6,,,2.51,,,,6,<RL,2,,,1,,,,
WB3,WB,,REG,1987,1987,3,27,11,SPRING,86.46,451.46,,98,95,,35,19,,7.4,6.0,,82,14,,1.6,Half DL,1.40,,70,,48,,,,80,,99,91,,24.9,,1.3,<RL,0.2,13.5,5.76,5.91,26.8,,,1.23,3.30,,<RL,1,<RL,4,,,1,,,,
EB3,EB,,REG,1987,1987,3,29,10,SPRING,88.42,453.42,,81,79,,28,16,,5.1,4.0,,75,20,,1.5,Half DL,1.40,,160,,75,,,,64,,96,89,,21.5,,1.5,,,5.0,5.58,5.54,23.7,,,2.88,,,<RL,1,<RL,1,,,1,,,,
WB3,WB,,REG,1987,1987,3,29,10,SPRING,88.42,453.42,,96,94,,33,19,,6.6,5.0,,78,19,,1.7,Half DL,1.40,,90,,49,,,,69,,100,93,,21.2,,1.2,<RL,0.1,13.4,5.76,6.02,23.7,,,0.95,1.65,,<RL,1,,7,,,2,,,,
EB3,EB,,REG,1987,1987,4,1,13,SPRING,91.54,456.54,,78,75,,29,12,,8.2,7.0,,73,1,,1.1,Half DL,1.40,,313,,92,,,,84,,81,72,,25.9,,2.4,,,-3.1,5.08,5.07,27.2,,,8.51,,,,8,<RL,5,,,1,,,,
WB3,WB,,REG,1987,1987,4,1,14,SPRING,91.58,456.58,,92,88,,35,17,,11.8,10.0,,80,4,,1.4,Half DL,1.40,,309,,100,,,,89,,97,88,,28.0,,2.1,,,4.0,5.19,5.13,29.4,,,7.41,,,<RL,4,<RL,2,,,1,,,,
EB3,EB,,REG,1987,1987,4,2,13,SPRING,92.54,457.54,,79,76,,30,13,,7.7,6.0,,75,1,,1.2,Half DL,1.40,,278,,90,,,,86,,84,75,,23.6,,2.1,,,2.6,5.14,5.20,26.3,,,6.31,,,,6,<RL,5,,,2,,,,
WB3,WB,,REG,1987,1987,4,2,13,SPRING,92.54,457.54,,93,90,,34,16,,10.5,9.0,,81,2,,1.5,Half DL,1.40,,241,,73,,,,92,,98,88,,26.5,,1.7,,,0.1,5.25,5.23,29.0,,,5.89,,,<RL,5,<RL,3,,,3,,,,
EB3,EB,,REG,1987,1987,4,3,11,SPRING,93.46,458.46,,83,80,,29,13,,6.6,5.0,,75,4,,1.8,Half DL,1.40,,243,,121,,,,83,,87,78,,20.7,,1.8,,,1.7,5.28,5.27,27.0,,,5.37,,,<RL,5,<RL,4,,,2,,,,
WB3,WB,,REG,1987,1987,4,3,11,SPRING,93.46,458.46,,92,88,,35,17,,10.2,9.0,,82,6,,1.6,Half DL,1.40,,195,,133,,,,89,,98,89,,22.9,,1.5,,,2.0,5.42,5.39,29.2,,,4.07,,,<RL,2,<RL,2,,,3,,,,
WB3,WB,,REG,1987,1987,4,5,16,SPRING,95.67,460.67,,87,84,,32,17,,8.2,7.0,,77,8,,1.4,Half DL,1.40,,241,,118,,,,80,,97,89,,21.0,,1.6,,,4.2,5.43,5.38,27.0,,,4.17,,,<RL,3,<RL,3,,,3,,,,
EB3,EB,,REG,1987,1987,4,5,17,SPRING,95.71,460.71,,73,71,,27,13,,5.9,5.0,,71,8,,1.2,Half DL,1.40,,214,,115,,,,73,,85,77,,15.7,,1.9,,,4.4,5.34,5.30,24.5,,,5.01,,,,6,,6,,,3,,,,
EB3,EB,,REG,1987,1987,4,6,15,SPRING,96.60,461.60,,75,73,,25,10,,5.4,4.0,,68,5,,1.1,Half DL,1.40,,283,,166,,,,73,,87,79,,15.1,,2.1,,,-1.3,5.21,5.12,19.9,,,7.59,,,,6,,6,,,3,,,,
WB3,WB,,REG,1987,1987,4,6,15,SPRING,96.60,461.60,,85,83,,30,16,,7.9,7.0,,70,7,,1.5,Half DL,1.40,,188,,120,,,,73,,91,83,,22.5,,1.7,,,6.4,5.42,5.38,20.4,,,4.17,,,<RL,4,<RL,4,,,3,,,,
WB3,WB,,REG,1987,1987,4,7,10,SPRING,97.42,462.42,,84,82,,30,15,,7.7,6.0,,72,10,,1.4,Half DL,1.40,,247,,120,,,,73,,97,89,,17.3,,1.6,,,0.2,5.34,5.24,25.7,,,5.75,,,<RL,5,,8,,,2,,,,
EB3,EB,,REG,1987,1987,4,7,11,SPRING,97.46,462.46,,75,72,,26,12,,5.6,4.0,,67,8,,1.2,Half DL,1.40,,235,,119,,,,69,,87,80,,13.4,,1.9,,,-0.4,5.18,5.16,23.3,,,6.92,,,,8,,6,,,2,,,,
EB3,EB,,REG,1987,1987,4,8,11,SPRING,98.00,463.00,,79,76,,26,13,,5.6,4.0,,70,10,,1.1,Half DL,1.40,,229,,100,,,,70,,89,82,,15.4,,1.8,,,2.0,5.38,5.51,23.9,,,3.09,,,<RL,5,<RL,4,,,2,,,,
WB3,WB,,REG,1987,1987,4,8,11,SPRING,98.46,463.46,,87,85,,30,16,,7.7,6.0,,74,10,,1.5,Half DL,1.40,,218,,95,,,,74,,99,91,,20.6,,1.4,,,3.9,5.50,5.72,26.0,,,1.91,,,<RL,3,<RL,3,,,2,,,,
EB3,EB,,REG,1987,1987,4,9,11,SPRING,99.46,464.46,,81,79,,27,13,,5.6,4.0,,70,9,,1.4,Half DL,1.40,,220,,107,,,,72,,91,84,,11.5,,1.6,,,3.7,5.41,5.46,23.8,,,3.47,,,<RL,4,<RL,1,,,2,,,,
WB3,WB,,REG,1987,1987,4,9,11,SPRING,99.46,464.46,,92,89,,32,18,,7.4,6.0,,73,9,,1.6,Half DL,1.40,,146,,78,,,,75,,97,89,,17.4,,1.3,,,6.3,5.57,5.72,25.8,,,1.91,,,<RL,1,<RL,1,,,2,,,,
EB3,EB,,REG,1987,1987,4,10,11,SPRING,100.00,465.00,,72,69,,28,14,,5.9,5.0,,71,11,,1.5,Half DL,1.40,,182,,100,,,,70,,91,84,,10.3,,1.6,,,5.3,5.48,5.48,24.4,,,3.31,,,<RL,1,<RL,2,,,4,,,,
WB3,WB,,DUP,1987,1987,4,10,11,SPRING,100.00,465.00,,80,77,,34,20,,7.9,7.0,,76,13,,2.0,Half DL,1.40,,133,,70,,,,73,,97,89,,15.7,,,,,6.1,5.63,5.70,25.7,,,2.00,,,<RL,2,<RL,1,,,4,,,,
WB3,WB,,REG,1987,1987,4,10,11,SPRING,100.00,465.00,,81,79,,32,18,,7.9,7.0,,76,12,,1.7,Half DL,1.40,,141,,79,,,,74,,97,89,,15.9,,1.4,,,6.0,5.63,5.65,25.3,,,2.24,,,<RL,1,<RL,1,,,4,,,,
EB3,EB,,REG,1987,1987,4,14,10,SPRING,104.40,469.42,,77,74,,29,15,,5.9,5.0,,74,14,,1.6,Half DL,1.40,,148,,90,,,,69,,96,89,,7.3,,1.5,,,5.4,5.58,5.60,23.7,,,2.51,,,<RL,4,<RL,2,,,3,,,,
WB3,WB,,REG,1987,1987,4,14,10,SPRING,104.40,469.42,,83,80,,34,20,,7.9,7.0,,78,17,,2.1,Half DL,1.40,,85,,53,,,,72,,97,90,,13.2,,1.3,,,8.5,5.71,5.91,25.2,,,1.23,,,<RL,5,<RL,1,,,2,,,,
WB3,WB,,REG,1987,1987,4,21,10,SPRING,111.40,476.42,,86,83,,32,18,,8.2,7.0,,84,23,,2.2,Half DL,1.40,,64,,45,,,,71,,102,95,,3.7,,1.3,,,12.1,5.49,5.97,26.6,,,1.07,,,<RL,2,<RL,2,,,4,,,,
EB3,EB,,REG,1987,1987,4,21,11,SPRING,111.50,476.46,,82,79,,28,13,,6.1,5.0,,80,14,,1.7,Half DL,1.40,,115,,59,,,,76,,102,94,,8.1,,1.6,,,19.4,5.68,5.82,25.7,,,1.51,,,<RL,2,<RL,2,,,4,,,,
EB3,EB,,REG,1987,1987,4,28,10,SPRING,118.40,483.42,,89,87,,30,16,,6.1,5.0,,84,22,,1.9,Half DL,1.40,,105,,64,,,,72,,104,97,,2.3,,1.3,,,19.4,5.86,6.21,24.9,,,0.62,,,<RL,2,<RL,2,,,5,,,,
WB3,WB,,REG,1987,1987,4,28,10,SPRING,118.40,483.42,,88,85,,34,19,,7.9,6.0,,86,20,,2.4,Half DL,1.40,,69,,51,,,,77,,101,93,,6.6,,1.1,,,16.7,5.83,6.27,25.4,,,0.54,,,<RL,2,<RL,2,,,3,,,,
EB3,EB,,REG,1987,1987,4,30,12,SPRING,120.50,485.50,,81,78,,28,15,,5.9,5.0,,81,23,,1.7,Half DL,1.40,,103,,61,,,,68,,100,93,,2.8,,1.5,,,10.8,5.69,5.97,24.2,,,1.07,,,<RL,2,<RL,2,,,4,,,,
WB3,WB,,REG,1987,1987,4,30,12,SPRING,120.50,485.50,,86,84,,33,19,,7.7,6.0,,85,21,,2.2,Half DL,1.40,,52,,43,,,,74,,98,90,,7.2,,1.2,,,15.4,5.81,6.17,25.2,,,0.68,,,<RL,5,<RL,4,,,5,,,,
EB3,EB,,REG,1987,1987,5,5,10,SPRING,125.40,490.42,,83,81,,29,15,,6.1,5.0,,87,27,,1.6,Half DL,1.40,,100,,72,,,,69,,103,96,,3.2,,1.3,,,10.7,5.71,6.06,24.3,,,0.87,,,<RL,1,<RL,1,,,5,,,,
WB3,WB,,REG,1987,1987,5,5,11,SPRING,125.50,490.46,,86,83,,33,18,,7.9,7.0,,84,20,,2.3,Half DL,1.40,,62,,48,,,,75,,101,93,,6.9,,1.1,,,15.0,5.93,6.18,23.2,,,0.66,,,<RL,1,<RL,0,,,6,,,,
EB3,EB,,REG,1987,1987,5,7,11,SPRING,127.50,492.46,,74,72,,26,14,,5.6,4.0,,77,22,,1.6,Half DL,1.40,,153,,76,,,,63,,100,93,,4.3,,1.6,,,8.3,5.60,5.71,24.1,,,1.95,,,<RL,2,<RL,3,,,8,,,,
WB3,WB,,REG,1987,1987,5,7,11,SPRING,127.50,492.46,,85,83,,33,19,,8.2,7.0,,82,20,,1.9,Half DL,1.40,,98,,66,,,,72,,107,100,,8.9,,1.4,,,10.4,5.82,6.02,26.1,,,0.95,,,<RL,1,<RL,2,,,7,,,,
EB3,EB,,REG,1987,1987,5,12,10,SPRING,132.40,497.42,,85,82,,27,14,,6.9,6.0,,83,23,,1.8,Half DL,1.40,,109,,,,,,70,,105,98,,2.5,,1.3,,,11.4,5.87,6.05,22.9,,,0.89,,,<RL,1,<RL,1,,,9,,,,
WB3,WB,,REG,1987,1987,5,12,11,SPRING,132.50,497.46,,86,84,,33,19,,8.7,7.0,,87,23,,2.4,Half DL,1.40,,66,,,,,,74,,103,95,,6.1,,1.1,,,19.0,5.90,6.30,24.7,,,0.50,,,<RL,1,<RL,1,,,8,,,,
EB3,EB,,REG,1987,1987,5,19,12,SPRING,139.50,504.50,,88,86,,30,15,,7.4,6.0,,86,23,,1.9,<RL,3.88,,90,,54,,,,74,,107,99,,1.6,,1.3,,,15.7,5.87,6.29,23.1,,,0.51,,,<RL,1,<RL,1,,,10,,,,
WB3,WB,,REG,1987,1987,5,19,12,SPRING,139.50,504.50,,85,82,,34,19,,8.9,8.0,,90,24,,2.6,Half DL,1.40,,62,,48,,,,77,,103,95,,4.9,,1.5,,,17.4,5.96,6.22,24.7,,,0.60,,,<RL,2,<RL,1,,,10,,,,
EB3,EB,,REG,1987,1987,5,26,11,SPRING,146.50,511.46,,89,86,,30,16,,6.1,5.0,,87,24,,2.0,Half DL,1.40,,78,,48,,,,74,,105,97,<RL,0.8,,1.2,,,21.8,6.04,6.41,27.5,,,0.39,,,<RL,1,<RL,2,,,11,,,,
WB3,WB,,REG,1987,1987,5,26,11,SPRING,146.50,511.46,,85,82,,34,19,,8.4,7.0,,91,26,,2.7,Half DL,1.40,,53,,53,,,,76,,101,93,,3.6,,1.2,,,22.7,5.90,6.37,28.0,,,0.43,,,<RL,1,<RL,1,,,10,,,,
WB3,WB,,REG,1987,1987,6,2,10,SUMMER,153.40,518.42,,89,86,,35,19,,11.0,9.0,,98,28,,2.8,Half DL,1.40,,58,,58,,,,81,,104,96,,2.9,,1.2,,,24.7,5.95,6.54,28.4,,,0.29,,,<RL,2,<RL,0,,,11,,,,
EB3,EB,,REG,1987,1987,6,2,11,SUMMER,153.50,518.46,,88,85,,30,15,,5.4,4.0,,88,25,,2.1,Half DL,1.40,,83,,55,,,,73,,109,101,<RL,0.4,,1.3,,,16.5,5.96,6.42,27.2,,,0.38,,,<RL,1,<RL,0,,,11,,,,
EB3,EB,,REG,1987,1987,6,9,9,SUMMER,160.40,525.38,,81,78,,27,15,,3.8,3.0,,85,29,,2.0,Half DL,1.40,,102,,53,,,,65,,106,99,,1.0,,1.3,,,9.4,5.87,5.96,24.7,,,1.10,,,<RL,2,<RL,1,,,10,,,,
WB3,WB,,REG,1987,1987,6,9,10,SUMMER,160.40,525.42,,89,86,,35,21,,5.6,4.0,,96,34,,2.4,Half DL,1.40,,62,,50,,,,72,,105,98,,2.9,,1.2,,,22.3,6.06,6.40,26.6,,,0.40,,,<RL,1,<RL,1,,,10,,,,
WB3,WB,,REG,1987,1987,6,17,10,SUMMER,168.40,533.42,,90,87,,34,19,,4.6,3.0,,94,28,,2.8,Half DL,1.40,,38,,33,,,,76,,103,95,,1.4,,1.1,,1.0,28.0,6.05,6.43,27.7,,,0.37,27.10,,<RL,4,<RL,2,,,11,,,,
EB3,EB,,DUP,1987,1987,6,17,13,SUMMER,168.50,533.54,,94,92,,30,16,,2.8,1.0,,87,26,,2.1,Half DL,1.40,,70,,43,,,,71,,106,99,<RL,0.2,,,,0.7,29.6,6.33,6.43,27.1,,,0.37,27.90,,<RL,2,<RL,2,,,11,,,,
EB3,EB,,REG,1987,1987,6,17,13,SUMMER,168.50,533.54,,96,93,,30,16,,2.6,1.0,,90,28,,2.1,Half DL,1.40,,61,,50,,,,72,,108,101,<RL,0.1,,1.2,,0.7,27.8,6.28,6.41,26.8,,,0.39,26.20,,<RL,1,<RL,4,,,11,,,,
WB3,WB,,REG,1987,1987,6,23,9,SUMMER,174.40,539.38,,85,83,,34,20,,3.8,2.0,,94,32,,2.9,Half DL,1.40,,55,,41,,,,72,,97,90,<RL,0.4,,1.2,,1.1,34.0,6.02,6.52,25.5,,,0.30,28.40,,<RL,3,<RL,2,,,11,,,,
EB3,EB,,REG,1987,1987,6,23,10,SUMMER,174.40,539.42,,105,103,,33,19,,3.3,2.0,,92,29,,2.2,Half DL,1.40,,70,,58,,,,73,,109,101,Half DL,0.05,,1.4,,0.8,38.9,6.41,6.59,26.0,,,0.26,35.00,,<RL,3,<RL,3,,,12,,,,
EB3,EB,,REG,1987,1987,6,25,10,SUMMER,176.40,541.42,,106,104,,34,20,,2.6,1.0,,94,31,,2.3,Half DL,1.40,,51,,33,,,,73,,105,97,Half DL,0.05,,1.1,<RL,0.3,45.4,6.40,6.81,30.2,,,0.15,13.00,,<RL,1,<RL,1,,,12,,,,
WB3,WB,,REG,1987,1987,6,25,11,SUMMER,176.50,541.46,,86,83,,34,19,,3.6,2.0,,94,30,,3.0,Half DL,1.40,,36,,20,,,,75,,99,91,<RL,0.7,,1.0,,1.1,32.9,6.06,6.63,28.3,,,0.23,30.30,,<RL,3,<RL,1,,,11,,,,
WB3,WB,,DUP,1987,1987,6,30,11,SUMMER,181.00,546.00,,85,83,,31,19,,4.9,4.0,,81,26,,2.0,Half DL,1.40,,64,,47,,,,65,,104,97,<RL,0.9,,,,0.6,17.5,6.05,6.30,26.1,,,0.50,16.30,,<RL,2,<RL,2,,,,,,,
WB3,WB,,REG,1987,1987,6,30,11,SUMMER,181.00,546.00,,85,82,,31,18,,5.4,4.0,,84,26,,2.1,Half DL,1.40,,69,,51,,,,67,,107,100,<RL,0.7,,1.5,,0.7,19.1,5.99,6.23,25.5,,,0.59,17.20,,<RL,3,<RL,1,,,12,,,,
EB3,EB,,REG,1987,1987,6,30,16,SUMMER,181.70,546.67,,82,80,,26,14,,3.3,2.0,,80,26,,1.8,Half DL,1.40,,124,,84,,,,63,,101,94,<RL,0.3,,1.7,<RL,0.3,23.8,5.96,6.01,24.0,,,0.98,7.03,,<RL,2,<RL,4,,,12,,,,
EB3,EB,,REG,1987,1987,7,7,10,SUMMER,188.40,553.42,,97,94,,30,17,,2.3,1.0,,89,28,,2.1,Half DL,1.40,,76,,53,,,,71,,107,100,Half DL,0.05,,1.4,,0.6,27.8,6.20,6.39,26.9,,,0.41,20.20,,<RL,4,<RL,3,,,14,,,,
WB3,WB,,REG,1987,1987,7,7,10,SUMMER,188.40,553.42,,84,82,,34,20,,3.8,2.0,,92,30,,2.6,,,,54,,38,,,,73,,102,94,<RL,0.5,,1.3,,0.8,26.9,5.87,6.42,24.9,,,0.38,16.10,,<RL,3,<RL,2,,,12,,,,
WB3,WB,,REG,1987,1987,7,14,12,SUMMER,195.50,560.50,,86,84,,32,18,,3.6,2.0,,96,32,,2.9,Half DL,1.40,,48,,28,,,,75,,102,94,<RL,0.6,,1.1,,1.0,29.3,5.96,6.57,26.4,,,0.27,23.40,,,6,<RL,5,,,12,,,,
